wavelength flux error flag
3691.0 9.451532579155505e-18 4.0928984103163997e-16 0
3692.0 9.142490231504174e-18 3.923332936247731e-16 0
3693.0 5.0034784207422906e-18 3.8423002385313487e-16 0
3694.0 3.625000435598216e-21 3.7811665761536645e-16 0
3695.0 -9.375751135962725e-19 3.606558926599727e-16 0
3696.0 -1.1503992735040647e-18 3.411586954833299e-16 0
3697.0 1.4275766209346012e-18 3.5971463231931125e-16 0
3698.0 4.388986402890974e-18 3.834987692493727e-16 0
3699.0 7.655335355044963e-18 3.829769719240409e-16 0
3700.0 1.095163530874928e-17 3.800678555996652e-16 0
3701.0 9.719439122319689e-18 3.8693421517571195e-16 0
3702.0 8.208036230835809e-18 3.944032866305004e-16 0
3703.0 5.1731558270003555e-18 3.964575328518201e-16 0
3704.0 2.1048956074675378e-18 3.982219852274607e-16 0
3705.0 8.439848679823756e-19 3.6974238718475485e-16 0
3706.0 -2.038113147849328e-19 3.434785018049495e-16 0
3707.0 4.454071592732719e-18 3.765355075247055e-16 0
3708.0 8.742077795715397e-18 3.937224846176338e-16 0
3709.0 7.909475015934501e-18 1.9120324570158561e-16 0
3710.0 7.382027120443827e-18 2.7580934530934882e-17 0
3711.0 9.640311694571281e-18 2.1904530283708846e-16 0
3712.0 1.2378090363071776e-17 3.7624707485224254e-16 0
3713.0 1.8322304381026166e-17 3.0433069671546174e-16 0
3714.0 2.2856556396626354e-17 2.543432382028764e-16 0
3715.0 2.0067550703262196e-17 3.1825326729563917e-16 0
3716.0 1.6664687473198974e-17 3.719990820185146e-16 0
3717.0 1.0691914742577384e-17 3.831924973437254e-16 0
3718.0 5.58630227057537e-18 3.9127928968484445e-16 0
3719.0 3.481862382405815e-18 3.8861430732747605e-16 0
3720.0 2.4595891384366783e-18 3.870187931421182e-16 0
3721.0 4.590147550894652e-18 3.88539114328629e-16 0
3722.0 6.93678714989993e-18 3.8970916058682784e-16 0
3723.0 9.82053076735691e-18 3.900085430238705e-16 0
